dataset_name,query_basename,total_rows,core_instances
dataset_test,query_cycle_4_0.graph,5133,5133
dataset_test,query_cycle_4_1.graph,9108,9108
dataset_test,query_cycle_4_10.graph,3904,3904
dataset_test,query_cycle_4_11.graph,6536,6536
dataset_test,query_cycle_4_12.graph,5021,5021
dataset_test,query_cycle_4_13.graph,9090,9090
dataset_test,query_cycle_4_14.graph,9352,9352
dataset_test,query_cycle_4_15.graph,9090,9090
dataset_test,query_cycle_4_16.graph,3960,3960
dataset_test,query_cycle_4_17.graph,9347,9347
dataset_test,query_cycle_4_18.graph,9046,9046
dataset_test,query_cycle_4_19.graph,4852,4852
dataset_test,query_cycle_4_2.graph,5115,5115
dataset_test,query_cycle_4_20.graph,4925,4925
dataset_test,query_cycle_4_21.graph,4920,4920
dataset_test,query_cycle_4_22.graph,9052,9052
dataset_test,query_cycle_4_23.graph,6577,6577
dataset_test,query_cycle_4_24.graph,4932,4932
dataset_test,query_cycle_4_25.graph,9480,9480
dataset_test,query_cycle_4_26.graph,4986,4986
dataset_test,query_cycle_4_27.graph,5182,5182
dataset_test,query_cycle_4_28.graph,9100,9100
dataset_test,query_cycle_4_29.graph,5199,5199
dataset_test,query_cycle_4_3.graph,6400,6400
dataset_test,query_cycle_4_30.graph,4905,4905
dataset_test,query_cycle_4_31.graph,4994,4994
dataset_test,query_cycle_4_32.graph,4760,4760
dataset_test,query_cycle_4_33.graph,6502,6502
dataset_test,query_cycle_4_34.graph,8913,8913
dataset_test,query_cycle_4_35.graph,5109,5109
dataset_test,query_cycle_4_36.graph,4823,4823
dataset_test,query_cycle_4_37.graph,4984,4984
dataset_test,query_cycle_4_38.graph,6566,6566
dataset_test,query_cycle_4_39.graph,5175,5175
dataset_test,query_cycle_4_4.graph,1539,1539
dataset_test,query_cycle_4_40.graph,1832,1832
dataset_test,query_cycle_4_41.graph,9514,9514
dataset_test,query_cycle_4_42.graph,6387,6387
dataset_test,query_cycle_4_43.graph,9089,9089
dataset_test,query_cycle_4_44.graph,9316,9316
dataset_test,query_cycle_4_45.graph,4951,4951
dataset_test,query_cycle_4_46.graph,9520,9520
dataset_test,query_cycle_4_47.graph,4934,4934
dataset_test,query_cycle_4_48.graph,4512,4512
dataset_test,query_cycle_4_49.graph,4864,4864
dataset_test,query_cycle_4_5.graph,5062,5062
dataset_test,query_cycle_4_6.graph,6496,6496
dataset_test,query_cycle_4_7.graph,4010,4010
dataset_test,query_cycle_4_8.graph,9621,9621
dataset_test,query_cycle_4_9.graph,5121,5121
dataset_test,query_cycle_6_1.graph,5285,5285
dataset_test,query_cycle_6_10.graph,3010,3010
dataset_test,query_cycle_6_11.graph,2494,2494
dataset_test,query_cycle_6_15.graph,4020,4020
dataset_test,query_cycle_6_16.graph,7761,7761
dataset_test,query_cycle_6_17.graph,1429,1429
dataset_test,query_cycle_6_18.graph,725,725
dataset_test,query_cycle_6_20.graph,1212,1212
dataset_test,query_cycle_6_21.graph,1906,1906
dataset_test,query_cycle_6_22.graph,3153,3153
dataset_test,query_cycle_6_25.graph,5997,5997
dataset_test,query_cycle_6_27.graph,1045,1045
dataset_test,query_cycle_6_28.graph,973,973
dataset_test,query_cycle_6_29.graph,2319,2319
dataset_test,query_cycle_6_31.graph,955,955
dataset_test,query_cycle_6_32.graph,2839,2839
dataset_test,query_cycle_6_33.graph,4399,4399
dataset_test,query_cycle_6_35.graph,6857,6857
dataset_test,query_cycle_6_36.graph,7055,7055
dataset_test,query_cycle_6_37.graph,5434,5434
dataset_test,query_cycle_6_38.graph,3362,3362
dataset_test,query_cycle_6_39.graph,3871,3871
dataset_test,query_cycle_6_4.graph,3511,3511
dataset_test,query_cycle_6_40.graph,7612,7612
dataset_test,query_cycle_6_42.graph,2090,2090
dataset_test,query_cycle_6_43.graph,1547,1547
dataset_test,query_cycle_6_44.graph,8995,8995
dataset_test,query_cycle_6_45.graph,3308,3308
dataset_test,query_cycle_6_46.graph,5240,5240
dataset_test,query_cycle_6_48.graph,1755,1755
dataset_test,query_cycle_6_6.graph,6129,6129
dataset_test,query_cycle_6_7.graph,7078,7078
dataset_test,query_cycle_6_8.graph,2942,2942
dataset_test,query_cycle_6_9.graph,2461,2461
dataset_test,query_cycle_8_0.graph,2201,2201
dataset_test,query_cycle_8_10.graph,939,939
dataset_test,query_cycle_8_12.graph,664,664
dataset_test,query_cycle_8_18.graph,916,916
dataset_test,query_cycle_8_19.graph,5879,5879
dataset_test,query_cycle_8_20.graph,6729,6729
dataset_test,query_cycle_8_23.graph,1579,1579
dataset_test,query_cycle_8_24.graph,4375,4375
dataset_test,query_cycle_8_26.graph,3170,3170
dataset_test,query_cycle_8_28.graph,2870,2870
dataset_test,query_cycle_8_29.graph,5685,5685
dataset_test,query_cycle_8_3.graph,1502,1502
dataset_test,query_cycle_8_31.graph,5881,5881
dataset_test,query_cycle_8_33.graph,4146,4146
